order_id,customer_id,product_id,order_timestamp,order_total,quantity,payment_method,shipping_method,shipping_street,shipping_city,shipping_state,shipping_zip_code,shipping_country,order_status,discount_amount,tax_amount
ad81f8bd-4029-43ec-9ef2-b93e30ac7d7b,a8c01f05-c478-46f1-b88e-c318c16d83ed,a0d4de3d-2303-46c6-969d-42f1ae4c84ff,2025-07-15T22:03:56,1052.01,3,PayPal,Expedited,406 Smith Way Apt. 974,"New Laurie,",IN,83943,USA,Delivered,349.01,77.93
f8b38a8b-e05f-48bc-8a16-a06cc958e75e,e9da484a-8075-4f1f-87e5-f0fe5da8d6d2,41c8ca8c-2a1f-455a-9499-da9945c45a3e,2025-10-08T21:18:11,1557.51,5,NetBanking,Standard Ground,7095 Christopher Hill,"Julieburgh,",ID,17823,USA,Returned,324.11,115.37
f79efd70-65bc-4272-badd-7ea3aca5e2fd,5da36f1b-8eac-4a33-8df9-74a7d882b5c1,03902c5d-6502-46a2-8a6a-2224171e16cc,2025-10-22T16:18:46,1463.62,3,Debit Card,Two‑Day,"PSC 7451, Box 7123",APO,AP,95425,USA,Pending,43.46,108.42
a2a9d4d8-102e-4de5-a5cc-8bf738ab854c,b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,1dde7969-6886-43db-a634-8e784d5c55c7,2025-06-28T21:01:26,383.54,1,NetBanking,Expedited,5496 Rodriguez Fort,"Johnsonside,",MD,80465,USA,Shipped,17.37,28.41
7d45d8ef-d56c-48ea-9959-7b5aa7a8f636,f396ea37-f065-4817-a87a-48509d9b6231,5edb0d3c-b0b6-4bcf-8860-1833479d0cda,2025-08-11T07:19:17,555.02,2,UPI,Two‑Day,7113 Paul Land,"Matthewsberg,",FM,54880,USA,Pending,176.71,41.11
c3e15a85-d46e-4104-9190-6f5034885a46,3748967f-961d-43ba-b508-43f08de08fc2,541c7a86-3ba5-4d2f-9ea4-5c19d0243d72,2025-05-13T17:24:14,258.78,1,Credit Card,Two‑Day,51585 Raymond Field Apt. 713,"North Kristinbury,",DC,74501,USA,Processing,79.36,19.17
0d6a05b3-43ef-4016-ac9b-662e040a3aae,86ad8a8c-6bc4-423e-bde1-3c1b20733f6d,79eb4168-1045-46e5-bee3-eb791d181ee9,2025-09-19T04:35:36,238.84,3,UPI,Standard Ground,2284 Daniel Way,"East Alexisbury,",OR,42938,USA,Pending,33.79,17.69
718d4d05-e8e2-4743-b65f-eea97d824264,5275eb94-14ae-4f5c-a636-58c912d0498d,204e178c-10d0-4d11-a5f9-34bf9bb96155,2025-06-03T02:35:16,404.77,1,NetBanking,Standard Ground,917 Sonia Cape Suite 700,"Boonechester,",TX,14651,USA,Shipped,98.01,29.98
18578baf-bac7-42b9-aa7e-4c3666132e69,aa448259-5001-4b7b-ad40-67f450032b35,2713582c-f41e-43ac-9fd2-31094140752c,2025-05-13T06:52:52,1310.0,5,PayPal,Two‑Day,9847 Garcia Squares Apt. 836,"Beasleychester,",MA,59942,USA,Pending,179.54,97.04
de3b496f-6c45-46f6-8012-a0fff0ede303,f7e8f8e5-0d2b-41ef-b897-6ec5ea74bb18,5a057c11-4ffc-46b1-99b4-79d449a214ae,2025-05-25T02:59:51,326.69,3,PayPal,One‑Day,11161 Cain Point Apt. 988,"Elizabethchester,",MI,87708,USA,Returned,24.48,24.2
8e867f3c-a487-4eab-accb-461a9d132363,a867a096-edd8-47c8-9be7-173706b89231,076979d6-4477-4442-b187-53e6d4578ad9,2025-06-05T17:15:28,929.56,2,Debit Card,One‑Day,73158 Wilson Harbors,"Port Roy,",OH,81991,USA,Pending,65.8,68.86
c6deb2f0-530a-41c7-b8ba-83684fc77768,15bfbe97-98a2-4f1c-914d-cfaef10013a7,284c03d2-27d4-45b6-8d77-c5a0e222b6a6,2025-07-24T02:40:01,718.77,2,Debit Card,Two‑Day,5022 Jones Streets Apt. 183,"Barnesmouth,",GA,49004,USA,Processing,73.67,53.24
ad9fb00d-4882-473c-9c63-45ab6e0ed1e8,86e52753-7c93-46cc-97d7-a560adb14670,3873e57f-0ba0-48e8-8ef4-92c1aac93316,2025-08-04T13:31:09,207.47,1,Debit Card,Expedited,147 Tucker Mills,"Nelsonhaven,",DE,45743,USA,Delivered,2.26,15.37
8011316b-3ae8-4926-b423-ccde88575117,ce6322b6-ab05-447f-9556-b37d8f0881ee,dc9c96de-65a6-44c2-9273-8a235aaab32f,2025-06-18T08:36:59,385.01,3,Debit Card,Standard Ground,34324 Murphy Avenue,"Burgessburgh,",DC,50335,USA,Processing,111.72,28.52
6fcc57dd-168f-4e12-9ca2-60c9eb7607c9,6f887f28-3e49-4d09-9b19-d8b8d8302081,1422373f-8622-48d1-a683-e10796c044d0,2025-10-02T07:54:29,535.94,4,PayPal,Two‑Day,71596 Mckinney Mall Suite 160,"Georgemouth,",MP,90889,USA,Returned,173.72,39.7
2c6a6e9a-3280-47a1-8187-222b257d5e52,c257cf73-c29d-482b-a722-796e9a36d1ec,f387e1bd-2d59-42c6-934a-5a2fa7cf705c,2025-07-08T11:12:53,1101.44,4,Credit Card,Standard Ground,535 Charles Roads Apt. 883,"Michaelberg,",IA,13975,USA,Shipped,345.59,81.59
81e0d489-5a18-42a3-8e61-4bcd97674900,73b0a091-7634-4169-8f76-e38812fe28bf,d4ea120a-5e65-4654-8e90-58b609a0a0f6,2025-05-12T14:14:10,445.21,2,Credit Card,One‑Day,9979 Lin Road Suite 271,"Ramosport,",WY,36503,USA,Shipped,172.55,32.98
80599b93-79c2-42e4-9ae1-a991524f93ff,73557b9d-0fd6-447e-b52d-4af2269ed4c9,d65e59dd-e62d-4d06-8f9b-85581a7f195b,2025-05-27T14:53:35,504.64,3,UPI,Expedited,986 Carpenter Turnpike,"South Reginashire,",SD,25173,USA,Shipped,195.77,37.38
adcc3daf-569f-4ab3-8643-530068a51c68,a181c85e-ca0a-46ac-8d67-d38e990f0c5b,54669d19-10df-4974-95ab-946da5b5cdc2,2025-10-31T21:26:15,384.12,1,NetBanking,Expedited,203 Ritter Pine,"West Nathan,",LA,51280,USA,Shipped,0.18,28.45
f275b5f3-d436-47a8-b3ec-b951ab8cbf97,e99630f7-af77-420e-bf46-25afbd20563b,aba301cb-a561-41e9-97ec-889c86c1b6cb,2025-07-08T06:47:18,137.12,4,NetBanking,Two‑Day,4925 Brandi Divide Suite 462,"West Angelicamouth,",GU,17251,USA,Pending,31.6,10.16
d4d30795-2e4b-4bc4-a989-0880277d1be9,cf1d7d3a-9fee-4dff-8566-aa81b15e54f6,700b5d5f-b89f-42f3-aa60-c652e7147668,2025-07-07T12:04:02,663.57,3,UPI,Two‑Day,54235 Lee Dam Apt. 141,"Lake Matthewberg,",PA,49878,USA,Returned,153.67,49.15
92070158-f277-4f63-ada5-84175e2ad32d,c4f9eccd-7630-48a7-b0ca-fdd8fc043f08,80be7e35-61c2-445a-8733-230448223120,2025-07-17T18:53:23,172.84,2,Debit Card,Two‑Day,379 Goodwin Tunnel Suite 383,"Tammyfort,",MH,25931,USA,Delivered,39.88,12.8
d4bf7a4b-25b8-442f-836b-15c7e7c225da,e916da57-f248-43ab-977a-8a5f6ffe33b3,e27718c5-737d-4fb6-9113-76e038d77b9a,2025-06-14T23:28:01,2049.9,5,UPI,Two‑Day,92407 Spencer Cove,"West Christopherburgh,",KY,59394,USA,Delivered,190.39,151.84
25637cc3-ca97-4bf5-95d5-96afa663d2cd,eada79a3-4970-4d9a-89ce-3cfb2339ba19,d4c3a832-b231-460b-b8f2-ce6bd46b415d,2025-08-05T01:09:07,905.12,4,Debit Card,Standard Ground,0685 Paul Common,"Jeffreymouth,",CT,94178,USA,Shipped,57.41,67.05
10142131-7505-45f5-9f70-8368cb3cf8ca,7ff4cec6-e7b7-44c6-9631-2a801c612ec2,a1c7cc8a-0435-4b64-893a-d23298c3e3ca,2025-05-23T07:09:38,1466.81,5,Debit Card,Two‑Day,9010 Lewis Drive Suite 143,"Davidbury,",MT,84249,USA,Processing,309.89,108.65
8b48f496-86ab-44e7-b412-436011536e99,81f38dd4-fd03-4ada-8952-518581e03a5e,df92a621-63f4-469d-8534-a1018ddce719,2025-08-05T10:14:26,166.02,2,NetBanking,Standard Ground,246 Christina Garden,"Lopezland,",NC,47766,USA,Delivered,2.16,12.3
7a8104de-b205-47bb-bb16-f75776f186ab,2285b2ef-cfbe-4fe9-aea9-c542a1b970d0,f1901b7e-c6b4-49ef-b74e-ba9310275b53,2025-09-21T15:40:45,1585.54,4,UPI,One‑Day,4051 Allen Shoals Apt. 952,"West Amyburgh,",MP,90243,USA,Delivered,306.47,117.45
cca1b45c-1fdd-480a-85f1-861954f90429,6667d3bb-e3b5-4360-afdc-0bad5e368127,f4dbca07-e506-4670-b092-947dbe4969ec,2025-10-25T12:02:27,133.81,2,Credit Card,One‑Day,03054 Hays Plains Suite 403,"Michaelton,",VI,86449,USA,Processing,32.2,9.91
53f28f11-147f-4570-9a43-db54523ae993,7227890e-4e76-433a-8baf-0f5ea9320094,2aa93b43-6d15-416f-b7b8-c1a59a45693d,2025-08-03T08:54:14,688.8,2,Credit Card,Expedited,7584 Jessica Common,"Morrisonburgh,",ND,39005,USA,Pending,168.28,51.02
20509c62-08e8-45d7-b02c-1821c8040fb7,a52964ff-c74c-4890-bc6a-3174113634a5,f31046dc-6202-4ee6-9cb5-e69c5dc7b3e6,2025-08-16T07:11:55,263.96,4,NetBanking,Two‑Day,0596 Fowler Turnpike Apt. 165,"North Douglas,",PA,89379,USA,Delivered,39.59,19.55
1d0af7f7-f5e4-4471-bfe6-8c9c4758367b,7fc15858-2fa0-4842-bc55-300b06a241af,8fc9c86b-e9dd-4bf5-a311-9aca848af440,2025-07-27T00:42:02,1615.31,5,NetBanking,One‑Day,755 Hines Ports,"New Michael,",MD,85640,USA,Processing,546.49,119.65
51d08109-fc90-4838-9874-1408f7b217c7,109fd8ee-b5a4-4200-98f0-dd23aaf78c67,e42e5037-4a55-4ea0-8acb-be098ccc9cea,2025-10-15T05:59:22,762.08,4,PayPal,One‑Day,739 Benson Overpass Apt. 121,"Thompsonmouth,",CO,89882,USA,Processing,205.49,56.45
77a7e8b7-5e70-465f-9280-c5aa8dd4595b,2138afe0-8d38-4bd8-bba6-abf7cdbcc653,10d4de39-1612-47c9-a25d-f9a89ca8a5c4,2025-06-19T16:45:50,567.19,3,PayPal,Two‑Day,258 David Flats,"East Kristy,",AK,47804,USA,Shipped,143.04,42.01
21084dd9-f75d-4e3c-848d-56502e9522d6,de431e06-e924-4069-80bb-ae526ec01269,84a2576c-1fc9-45f8-94d6-07350e2f8958,2025-07-18T13:01:06,231.43,5,Debit Card,Expedited,669 David Island Apt. 778,"Davidside,",SC,77543,USA,Pending,10.16,17.14
2b2bb8e9-a417-4093-80a8-a23d17eaec83,27794685-94a5-4fde-b10d-27c89780c215,b87b6384-9fdd-4e2e-a8a2-b7ad2bd3cdcd,2025-07-24T21:35:35,747.8,4,Credit Card,Expedited,53584 John Roads,"Davidport,",RI,70425,USA,Delivered,134.63,55.39
9e3c5a88-6aa5-4e6d-9277-9574c4576cc3,e3954cb1-7f7f-4c0a-87c0-d116a394ed54,a4540937-4a27-4bf2-8baa-f744a08dd21b,2025-09-17T05:19:00,1613.69,4,Credit Card,One‑Day,"PSC 5900, Box 1094",APO,AP,28132,USA,Delivered,317.44,119.53
b048faa1-12ae-4c22-b41b-77f54c24a053,6a662fce-7089-4c6d-a877-f5d90f5675f8,5716dc2e-343a-4a2a-b6e5-ae787bf7e1d3,2025-07-19T21:24:51,463.76,1,UPI,Expedited,USCGC Sanchez,FPO,AP,53728,USA,Delivered,42.25,34.35
dd39d793-6257-44a2-b204-be894a4b5563,f6729464-3f8e-440a-ab0a-e0e39d896047,d0401587-28e2-43bc-a6fd-d7afdd84cacc,2025-07-19T16:09:02,258.53,2,PayPal,One‑Day,556 Kathleen Passage Apt. 537,"West Shannonberg,",CT,07133,USA,Processing,40.82,19.15
d7c4fe9c-e1e0-4ffc-98f6-fd7f7eb162f1,4926ce5f-7878-4140-ac2a-4f71a77d95f1,1b84edc3-d8e0-49de-8217-ea0e896490ab,2025-08-16T21:08:28,1403.05,4,Credit Card,One‑Day,27877 Jimenez Course Suite 873,"New Michael,",AR,37378,USA,Returned,541.56,103.93
20f0156a-1e6a-4628-9c6d-52d5ae2e9af9,5f89ed12-64d6-4fbf-98c0-1e2bf99f0704,8ece1128-56ce-4b42-bc9e-1dcbcb7e6268,2025-07-27T09:25:30,1753.87,5,Debit Card,One‑Day,565 Richard Port Apt. 584,"South Williamside,",KY,82190,USA,Processing,41.95,129.92
09f64405-0b99-4034-8a4e-255280051b10,cdd0b4d4-5542-47de-b6ad-f48b2314d0c8,2620f9a9-74fd-43d1-84f2-fd0f79474bfa,2025-08-01T10:59:49,130.29,1,PayPal,Two‑Day,USNS Gonzalez,FPO,AP,53111,USA,Delivered,13.14,9.65
1c0f0bdc-ac7e-437c-94cc-1e2a5e4cb287,4ec3f970-956d-40e4-aaa2-6216fada98f5,df41e335-b9ae-48e4-a615-99c8cbf81f86,2025-06-23T03:36:54,917.21,3,Credit Card,One‑Day,9526 Wheeler Parkways,"Ericksonport,",NJ,02681,USA,Pending,282.45,67.94
f2bd92f2-9293-4705-8815-01473e00980e,04d9145e-30d7-4df7-9c22-1ceab35556a5,26c432f6-6b35-4f85-904e-268770e7e756,2025-06-17T16:53:44,118.75,5,Credit Card,Standard Ground,749 Jennifer Prairie,"Jacksonfurt,",FL,89725,USA,Pending,43.95,8.8
